Portal,File,Label,Auth,"On disk"
public,index.php,Homepage,none,yes
public,about.php,About,none,yes
public,contact.php,Contact,none,yes
public,faq.php,FAQ,none,yes
public,blog.php,Blog,none,yes
public,api_docs.php,"API Docs",none,yes
public,tour_videos.php,"Video Tour",none,yes
public,merchant_register.php,"Merchant Signup",none,yes
public,signup.php,Signup,none,yes
public,login.php,"Merchant Login",none,yes
public,customer_login.php,"Customer Login",none,yes
public,cust.php,"Customer Login short /cust",none,yes
public,cust/index.php,"Customer Login short /cust/ (dir)",none,yes
public,customer_portal.php,"Customer Portal",none,yes
public,customer_ticket.php,"Customer Complaint",none,yes
public,customer_logout.php,"Customer Logout",none,yes
public,admin_login.php,"Admin Login",none,yes
public,admin_forgot_password.php,"Admin Forgot Password",none,yes
public,admin_reset_password.php,"Admin Reset Password",none,yes
public,staff_login.php,"Staff Login",none,yes
public,forgot_password.php,"Forgot Password",none,yes
public,reset_password.php,"Reset Password",none,yes
public,terms.php,Terms,none,yes
public,compliance.php,"Compliance Framework",none,yes
public,privacy.php,Privacy,none,yes
public,refund_policy.php,"Refund Policy",none,yes
public,business_agreement.php,"Merchant Agreement",none,yes
public,status.php,"System Status",none,yes
public,mobile.php,Mobile,none,yes
public,pricing.php,Pricing,none,yes
public,trust.php,"Trust Centre",none,yes
public,solutions.php,Solutions,none,yes
public,roadmap.php,Roadmap,none,yes
public,checkout.php,Checkout,none,yes
public,payment_status.php,"Payment Status",none,yes
public,error_404.php,"Branded 404 (alias)",none,yes
public,error.php,"Branded ErrorDocument",none,yes
merchant,dashboard.php,Dashboard,merchant,yes
merchant,transactions.php,Transactions,merchant,yes
merchant,transaction_detail.php,"Transaction Detail",merchant,yes
merchant,reports.php,Reports,merchant,yes
merchant,payment_links.php,"Payment Links",merchant,yes
merchant,merchant_payment_pack.php,"Payment Pack",merchant,yes
merchant,wallet.php,Wallet,merchant,yes
merchant,collection_settings.php,"Collection Settings",merchant,yes
admin,merchant_nbfc.php,"NBFC Finance",admin,yes
merchant,merchant_nbfc_loan.php,"NBFC Loan EMI",merchant,yes
admin,merchant_instant_settlement.php,"Instant Settlement",admin,yes
merchant,qr_code.php,"QR Code",merchant,yes
merchant,qr_upi_print.php,"Instant UPI Print QR",merchant,yes
merchant,settlements.php,Settlements,merchant,yes
merchant,settlement_detail.php,"Settlement Detail",merchant,yes
merchant,merchant_settlement_settings.php,"Settlement Settings",merchant,yes
merchant,merchant_payout.php,Payouts,merchant,yes
merchant,merchant_payout_keys.php,"Payout API Keys",merchant,yes
merchant,invoices.php,Invoices,merchant,yes
merchant,agents.php,Agents,merchant,yes
merchant,kyc.php,KYC,merchant,yes
merchant,merchant_video_verification.php,"Video KYC",merchant,yes
merchant,merchant_team.php,"Team Members",merchant,yes
merchant,merchant_team_accept.php,"Team Invite Accept",merchant,yes
merchant,merchant_settings.php,Settings,merchant,yes
merchant,merchant_notify_settings.php,"Notification Preferences",merchant,yes
merchant,merchant_2fa.php,"Two-Factor Authentication",merchant,yes
merchant,merchant_agreement.php,"Merchant Agreement",merchant,yes
merchant,merchant_website.php,"My Website",merchant,yes
merchant,api_settings.php,"API Settings",merchant,yes
merchant,disputes.php,Disputes,merchant,yes
merchant,refunds.php,Refunds,merchant,yes
merchant,chargebacks.php,Chargebacks,merchant,yes
merchant,notifications.php,Notifications,merchant,yes
merchant,support.php,Support,merchant,yes
merchant,support_ticket.php,"Support Ticket",merchant,yes
merchant,merchant_customer_tickets.php,"Customer Complaints",merchant,yes
merchant,my_account.php,"My Account",merchant,yes
merchant,security.php,Security,merchant,yes
merchant,merchant_setup.php,"Merchant Setup",merchant,yes
merchant,merchant_toggle_mode.php,"Mode Toggle",merchant,yes
merchant,export_transactions.php,"Export Transactions",merchant,yes
merchant,add_bank.php,"Add Bank",merchant,yes
merchant,add_agent.php,"Add Agent",merchant,yes
merchant,invoice_view.php,"Invoice View",merchant,yes
merchant,invoice_pdf.php,"Invoice PDF",merchant,yes
merchant,merchant_agreement_pdf.php,"Merchant Agreement PDF",merchant,yes
merchant,merchant_recurring.php,"Recurring Payments",merchant,yes
admin,admin_dashboard.php,Dashboard,admin,yes
staff,manage_merchant.php,"Merchants (Staff)",staff,yes
admin,add_merchant.php,"Add Merchant",admin,yes
admin,admin_view_merchant.php,"Merchant View",admin,yes
admin,admin_edit_merchant.php,"Edit Merchant",admin,yes
staff,admin_manage_staff.php,"Staff Control",staff,yes
admin,admin_gateway_submit.php,"Gateway Submit",admin,yes
staff,admin_transactions.php,"Transactions (Staff)",staff,yes
staff,admin_refunds.php,"Refunds (Staff)",staff,yes
staff,admin_disputes.php,"Disputes (Staff)",staff,yes
staff,admin_staff_activity.php,"Staff Activity Log",staff,yes
staff,admin_pg_webhooks.php,"PG Webhooks (Staff)",staff,yes
staff,admin_reconciliation.php,"PG Reconciliation (Staff)",staff,yes
admin,admin_bank_reconciliation.php,"Bank Auto-Reconciliation",admin,yes
staff,admin_settlements.php,"Settlements (Staff)",staff,yes
admin,admin_settlement_settings.php,"Settlement Engine",admin,yes
admin,admin_settlement_batches.php,"Settlement Batches",admin,yes
admin,admin_wallet.php,"Platform Wallet",admin,yes
admin,admin_payout.php,"Payout Requests",admin,yes
staff,admin_kyc.php,"KYC Review (Staff)",staff,yes
admin,admin_method_requests.php,"Method Requests",admin,yes
admin,admin_nbfc.php,"NBFC Applications",admin,yes
admin,method_partner_webhook.php,"Method Partner Webhook",admin,yes
admin,admin_kyc_doc.php,"KYC Document",admin,yes
admin,admin_aml.php,AML,admin,yes
admin,admin_chargebacks.php,Chargebacks,admin,yes
admin,admin_financial_reports.php,"Financial Reports",admin,yes
admin,admin_merchant_banks.php,"Merchant Banks",admin,yes
staff,admin_support.php,"Support (Staff)",staff,yes
staff,admin_customer_tickets.php,"Customer Complaints (Staff)",staff,yes
admin,admin_partner_requests.php,"Partner Requests",admin,yes
admin,admin_partners.php,Partners,admin,yes
admin,admin_partner.php,"Partner Detail",admin,yes
admin,admin_platform_status.php,"Platform Status",admin,yes
admin,admin_website.php,"Website & API Keys",admin,yes
admin,admin_link_audit.php,"Link Audit",admin,yes
admin,admin_watchdog.php,"Link Watchdog",admin,yes
admin,admin_error_log.php,"Error Log",admin,yes
admin,admin_axis.php,"Axis UAT",admin,yes
admin,admin_stepup.php,"Step-up Auth",admin,yes
admin,gateway_settings.php,"Gateway Settings",admin,yes
admin,admin_security.php,Security,admin,yes
admin,admin_partner_decentro.php,"Decentro Checklist",admin,yes
admin,admin_customer_message.php,"Customer Message",admin,yes
staff,staff_dashboard.php,"Staff Dashboard",staff,yes
api,api.php,"Merchant API",api,yes
api,verify_api.php,"API Verify",api,yes
webhook,webhook.php,"Merchant Webhook",webhook,yes
webhook,razorpay_webhook.php,"Razorpay Webhook",webhook,yes
webhook,cashfree_webhook.php,"Cashfree Webhook",webhook,yes
webhook,payu_webhook.php,"PayU Webhook",webhook,yes
webhook,axis_webhook.php,"Axis Webhook",webhook,yes
webhook,whatsapp_webhook.php,"WhatsApp Webhook",webhook,yes
system,platform_watchdog.php,"Cron Watchdog",system,yes
system,cron_auto_audit.php,"Auto Audit Cron",system,yes
system,morning_ops.php,"Morning Ops Cron",system,yes
system,cron_settlements.php,"Settlement Cron",system,yes
system,ping.php,Ping,system,yes
public,admin.php,"Admin Entry",admin,yes
public,qr_pay.php,"QR Scan Pay",none,yes
public,blog_post.php,"Blog Article",none,yes
merchant,video_kyc.php,"Video KYC Upload",merchant,yes
merchant,kyc_media_receiver.php,"KYC Media Upload",merchant,yes
merchant,global_search.php,"Global Search",api,yes
system,migrate_release.php,"Release Migrations",system,yes
